Date,AMZN,DPZ,BTC,NFLX,Log_Price,Trend,Speed,Speed_Norm,Event
2018-01-26,1402.050049,214.358627,11104.2002,274.600006,7.245690765245526,7.2337685479521445,0.009129720952367748,0.7014715514006918,0
2018-01-29,1417.680054,212.924835,11233.9502,284.589996,7.25677704975749,7.2402337718528536,0.006465223900709027,0.6383920711550402,0
2018-01-30,1437.819946,213.537888,10107.25977,278.799988,7.270883319036661,7.247820952562341,0.007587180709487384,0.6649533511953957,0
2018-01-31,1450.890015,214.427856,10226.86035,270.299988,7.279932450562608,7.251369686925235,0.003548734362894379,0.5693469040482864,0
2018-02-01,1390.0,216.227524,9114.719727,265.070007,7.237059026124737,7.250899027616396,-0.0004706593088394939,0.4741915111917628,0
2018-02-02,1429.949951,211.985443,8870.820313,267.429993,7.265394723340764,7.248333045081784,-0.0025659825346115994,0.4245866899193706,0
2018-02-05,1390.0,205.696457,6937.080078,254.259995,7.237059026124737,7.247301438852262,-0.0010316062295219197,0.4609116165189507,0
2018-02-06,1442.839966,206.131546,7701.25,265.720001,7.2743686489507,7.247097931367231,-0.00020350748503172866,0.48051608121970896,0
2018-02-07,1416.780029,208.949738,7592.720215,264.559998,7.256141990519474,7.247930606459619,0.0008326750923881576,0.5050467364075452,0
2018-02-08,1350.5,196.35202,8260.69043,250.100006,7.20823017323267,7.248609154134706,0.0006785476750872377,0.501397913689241,0
2018-02-09,1339.599976,203.78804,8696.830078,249.470001,7.200126323004254,7.252368782492178,0.0037596283574723444,0.5743396224889489,0
2018-02-12,1386.22998,209.503464,8911.269531,257.950012,7.234343096720798,7.2547778607367155,0.0024090782445371772,0.5423666093769163,0
2018-02-13,1414.51001,205.676697,8544.69043,258.269989,7.254538467422131,7.260660533420592,0.005882672683876322,0.6246007149396512,0
2018-02-14,1451.050049,207.436813,9485.639648,266.0,7.2800427450529375,7.26329965245861,0.0026391190380179452,0.5478126104070283,0
2018-02-15,1461.76001,215.268341,10033.75,280.269989,7.287396474988549,7.268488597601412,0.005188945142802659,0.6081773630369801,0
2018-02-16,1448.689941,218.274414,10188.73047,278.519989,7.278414938056944,7.279353823141651,0.010865225540238832,0.7425580023309719,0
2018-02-20,1468.349976,219.016006,11256.42969,278.549988,7.291894584030672,7.290358277042272,0.01100445390062088,0.7458541037857987,0
2018-02-21,1482.920044,227.955032,10481.66016,281.040009,7.301768425647377,7.298280368168522,0.007922091126250308,0.6728820426552373,0
2018-02-22,1485.339966,224.464478,9847.959961,278.140015,7.303398958368897,7.303217246210092,0.004936878041569948,0.6022099097335925,0
2018-02-23,1500.0,226.293793,10175.50977,285.929993,7.313220387090301,7.306248545738882,0.003031299528789333,0.5570971174043033,0
2018-02-26,1521.949951,225.473083,10326.5,294.160004,7.3277476541753,7.3100159378435885,0.0037673921047067793,0.5745234219568455,0
2018-02-27,1511.97998,223.940399,10594.75977,290.609985,7.321175315911078,7.315433130947596,0.0054171931040079,0.6135809204366752,0
2018-02-28,1512.449951,219.925751,10334.44043,291.380005,7.321486099109569,7.320059004156795,0.004625873209198161,0.5948471606670527,0
2018-03-01,1493.449951,220.331161,10929.37012,290.390015,7.308844125879385,7.324190009172756,0.004131005015961087,0.5831316181784368,0
2018-03-02,1500.25,220.608047,11043.12012,301.049988,7.313387039869622,7.32974259086511,0.005552581692354508,0.6167861188731982,0
2018-03-05,1523.609985,217.157013,11440.73047,315.0,7.328837788140339,7.335518206675346,0.005775615810235557,0.6220662433995983,0
2018-03-06,1537.640015,218.966568,10735.4502,325.220001,7.338004062201023,7.339390603524007,0.0038723968486609195,0.5770093112423418,0
2018-03-07,1545.0,220.469604,9928.55957,321.160004,7.3427791893318455,7.344021759199163,0.004631155675156151,0.5949722181171399,0
2018-03-08,1551.859985,220.291611,9316.719727,317.0,7.347209480822954,7.34812732922066,0.004105570021497584,0.5825294684294589,0
2018-03-09,1578.890015,227.688065,9252.759766,331.440002,7.364477356984792,7.352768810893871,0.00464148167321099,0.5952166764812095,0
2018-03-12,1598.390015,225.146744,9142.150391,321.299988,7.376752161002905,7.355436708707097,0.002667897813225295,0.5484939210435165,0
2018-03-13,1588.180054,223.87117,9160.120117,315.880005,7.3703440195105685,7.359114357102488,0.0036776483953913086,0.5723988234194168,0
2018-03-14,1591.0,224.674088,8217.700195,321.549988,7.372118028337787,7.361691864116386,0.0025775070138980283,0.5463540032541522,0
2018-03-15,1582.319946,224.832687,8268.410156,321.089996,7.366647369346049,7.361687159316799,-4.7047995872517845e-06,0.48522254920452834,0
2018-03-16,1571.680054,227.776627,8283.230469,318.450012,7.359900424284698,7.358327755339838,-0.003359403976960884,0.4058031779736577,0
2018-03-19,1544.930054,225.675217,8623.139648,313.480011,7.342733915815106,7.356991969864527,-0.001335785475310658,0.4537104568427096,0
2018-03-20,1586.51001,229.560883,8920.709961,317.5,7.369291920489636,7.351037393112128,-0.005954576752399632,0.3443648852495458,0
2018-03-21,1581.859985,226.260056,8911.349609,316.480011,7.3663566393539055,7.341589961182109,-0.009447431930018624,0.2616747996889783,0
2018-03-22,1544.920044,224.416351,8724.980469,306.700012,7.342727436536382,7.332986744464166,-0.008603216717943063,0.2816608067142245,0
2018-03-23,1495.560059,224.664139,8934.799805,300.940002,7.310256037076391,7.320020393827329,-0.012966350636836488,0.17836768440634415,0
2018-03-26,1555.859985,229.253601,7808.47998,320.350006,7.349783716756378,7.308986972982302,-0.011033420845027564,0.2241279927327276,0
2018-03-27,1497.050049,229.550964,7959.779785,300.690002,7.311251816726494,7.30071562779182,-0.008271345190482116,0.28951755530680967,0
2018-03-28,1431.420044,231.820892,7106.620117,285.769989,7.266422268280369,7.292645908133866,-0.008069719657953556,0.29429085156106405,0
2018-03-29,1447.339966,231.513611,6853.759766,295.350006,7.277482644440419,7.281882236847635,-0.010763671286230903,0.23051406171140953,0
2018-04-02,1371.98999,228.401123,7434.299805,280.290009,7.224017512340848,7.273321646113738,-0.008560590733897477,0.28266993709283805,0
2018-04-03,1392.050049,231.424393,6815.5,283.670013,7.238532794989388,7.269641090109018,-0.003680556004719726,0.3982002035292861,0
2018-04-04,1410.569946,229.422089,6790.450195,288.940002,7.251749118719799,7.261784814925889,-0.007856275183129036,0.2993439502405522,0
2018-04-05,1451.75,233.724075,6634.859863,293.970001,7.280525004252159,7.258787724060699,-0.0029970908651897332,0.41438060265591864,0
2018-04-06,1405.22998,229.432007,6917.200195,288.850006,7.2479562552053585,7.258747703809857,-4.0020250842154326e-05,0.4843864888649558,0
2018-04-09,1406.079956,230.393509,6871.069824,289.929993,7.248560938463519,7.2583801467769495,-0.0003675570329075839,0.4766323613228898,0
2018-04-10,1436.219971,229.669907,6977.129883,298.070007,7.269769921024461,7.266721321741209,0.008341174964259679,0.6828034612826391,0
2018-04-11,1427.050049,228.976028,7927.72998,303.670013,7.263364689741966,7.275182906737469,0.00846158499625993,0.685654056380956,0
2018-04-12,1448.5,229.451828,7899.109863,309.25,7.278283817209405,7.284156476720508,0.008973569983038665,0.6977748229772165,0
2018-04-13,1430.790039,228.302017,8022.509766,311.649994,7.265982045521099,7.288779761591474,0.004623284870966415,0.59478588417577,0
2018-04-16,1441.5,230.314224,7921.629883,307.779999,7.273439517078457,7.295788894500637,0.00700913290916283,0.6512686091616539,0
2018-04-17,1503.829956,235.082077,8189.959961,336.059998,7.315770436947677,7.299215475854123,0.0034265813534855027,0.5664550455869841,0
2018-04-18,1527.839966,236.103058,8301.820313,334.519989,7.331610229948253,7.300718953616771,0.0015034777626485862,0.520927363395322,0
2018-04-19,1556.910034,238.581146,8877.080078,332.700012,7.350458388533233,7.306333307408855,0.005614353792084081,0.6182485156666937,0
2018-04-20,1527.48999,236.836563,8935.719727,327.769989,7.331381137832789,7.313807350761576,0.007474043352720727,0.6622749298937978,0
2018-04-23,1517.859985,237.381729,9655.769531,318.690002,7.32505671720614,7.322023791200238,0.008216440438662431,0.6798504878355625,0
2018-04-24,1460.089966,229.788879,8873.620117,307.019989,7.286253333351859,7.330493788744859,0.008469997544620966,0.6858532156098338,0
2018-04-25,1460.170044,231.483871,9282.120117,305.76001,7.286308176413605,7.334389848141774,0.0038960593969150636,0.5775694999819877,0
2018-04-26,1517.959961,248.414246,8938.469727,313.980011,7.3251225814548855,7.336984812172943,0.002594964031168878,0.5467672818409681,0
2018-04-27,1572.619995,246.243408,9351.469727,311.76001,7.360498294089329,7.338377793230095,0.0013929810571520207,0.5183114570473524,0
2018-04-30,1566.130005,239.612,9077.280273,312.459991,7.356362890346388,7.342601909224765,0.004224115994669653,0.5853359336752184,0
2018-05-01,1582.26001,245.509888,9232.19043,313.299988,7.366609490069279,7.346959600451211,0.0043576912264464696,0.5884982025878182,0
2018-05-02,1569.680054,242.139694,9745.040039,313.359985,7.358627090313762,7.355731701940945,0.008772101489733508,0.6930052444799716,0
2018-05-03,1572.079956,243.676117,9699.610352,311.690002,7.360154834291114,7.3645598530610465,0.008828151120101602,0.6943321671535693,0
2018-05-04,1580.949951,246.065002,9845.900391,320.089996,7.365781180161903,7.369510166339344,0.004950313278297536,0.6025279764205966,0
2018-05-07,1600.140015,248.305191,9196.129883,326.26001,7.377846413774151,7.371166773210617,0.001656606871272892,0.5245525520876825,0
2018-05-08,1592.390015,248.215988,9321.160156,326.890015,7.372991320697058,7.3717448201317435,0.0005780469211265071,0.49901865216212,0
2018-05-09,1608.0,247.720367,9032.219727,330.299988,7.382746449738912,7.372032789830579,0.00028796969883515544,0.49215134472717653,0
2018-05-10,1609.079956,247.532028,8421.0,329.600006,7.383417838734733,7.37272973038757,0.0006969405569909881,0.5018333479975605,0
2018-05-11,1602.910034,247.720367,8486.669922,326.459991,7.379576027516166,7.372862060730426,0.00013233034285597967,0.4884667282721414,0
2018-05-14,1601.540039,243.983398,8480.160156,328.529999,7.378720969673316,7.373121029845445,0.0002589691150189921,0.49146478297894525,0
2018-05-15,1576.119995,244.934982,8344.780273,326.130005,7.362721406478792,7.372050067212635,-0.001070962632809369,0.45997989041245524,0
2018-05-16,1587.280029,245.172867,8071.040039,328.190002,7.369777156756463,7.372589103847798,0.0005390366351631926,0.49809512006015416,0
2018-05-17,1581.76001,244.389801,8247.910156,325.220001,7.3662934364406665,7.372309952607264,-0.00027915124053468077,0.47872528592572094,0
2018-05-18,1574.369995,242.714615,8249.240234,324.179993,7.36161046806252,7.37237038874465,6.043613738615505e-05,0.48676470007477957,0
2018-05-21,1585.459961,246.193848,7992.75,331.820007,7.368629840427115,7.372933520480715,0.0005631317360652588,0.4986655490799284,0
2018-05-22,1581.400024,246.035248,7505.77002,331.619995,7.366065824813252,7.374249378637351,0.0013158581566354854,0.5164856443760298,0
2018-05-23,1601.859985,247.304047,7584.740234,344.720001,7.378920723683847,7.377283990295598,0.003034611658247144,0.5571755289771647,0
2018-05-24,1603.069946,250.029938,7475.359863,349.290009,7.379675786093032,7.380339714986744,0.003055724691146011,0.5576753603208852,0
2018-05-25,1610.150024,248.146591,7355.060059,351.290009,7.384082636245974,7.385016908350312,0.004677193363567866,0.5960621174116106,0
2018-05-29,1612.869995,243.646393,7393.02002,349.730011,7.38577047661289,7.391800879329849,0.006783970979537202,0.6459381106786284,0
2018-05-30,1624.890015,249.494675,7502.149902,353.540009,7.393195409396312,7.3979145665479455,0.006113687218096686,0.6300697683727335,0
